round,task,family,baseline_acc,best_cfg,best_acc,best_delta_pp,outcome
77,hotpot_seed0_discovery,hotpot,0.10477207977207977,scalar_l8_train8e5,0.1035878535878536,-0.11842261842261587,negative
77,arc_seed0_discovery,other,0.12331921164118624,scalar_l8_train8e5,0.1262514422422145,0.2932230601028249,positive
78,protein_ss_seed0_discovery,protein_ss,0.2717168607254814,scalar_l8_train1e4,0.30767461134858787,3.5957750623106466,positive
79,hotpot_seed1_discovery,hotpot,0.10878442545109211,scalar_l8_train1e4,0.13039438039438042,2.160995494328831,positive
81,squad_seed2_anchor,squad,0.18328373015873015,scalar_l8_train1e4,0.19042370299200898,0.7139972833278829,positive
81,punc_seed1_anchor,other,0.10878442545109211,scalar_l8_train1e4,0.13039438039438042,2.160995494328831,positive
82,mbpp_seed2_anchor,mbpp,0.46692610866124223,scalar_l8_sched_cos,0.47584489594968743,0.8918787288445196,positive
91,hotpot_seed2_discovery,hotpot,0.1278252611585945,scalar_l8_train8e5,0.10045109211775878,-2.737416904083571,negative
92,protein_ss_seed1_discovery,protein_ss,0.32226153039832284,head_l8,0.3461545155624103,2.3892985164087444,positive
93,mbpp_seed0_anchor,mbpp,0.48069493044784073,scalar_l8_train8e5,0.5009952408429902,2.0300310395149457,positive
94,punc_seed0_anchor,other,0.10477207977207977,scalar_l8_train8e5,0.1035878535878536,-0.11842261842261587,negative
95,mbpp_seed1_anchor,mbpp,0.47564571543523254,scalar_l8_train8e5,0.46051668131107376,-1.512903412415878,negative
96,protein_ss_seed3_discovery,protein_ss,0.3128667101639154,scalar_l8_train1e4,0.3296769352264327,1.6810225062517337,positive
97,squad_seed2_anchor_recheck,squad,0.18328373015873015,scalar_l8_train1e4,0.19042370299200898,0.7139972833278829,positive
98,punc_seed1_anchor_recheck,other,0.10878442545109211,scalar_l8_train1e4,0.13039438039438042,2.160995494328831,positive
99,protein_ss_seed4_discovery,protein_ss,0.30297525750111953,scalar_l8_train8e5,0.3520151875415033,4.903993004038377,positive
99,mbpp_seed2_headprobe,mbpp,0.46692610866124223,head_l10_strong,0.4897465047459224,2.2820396084680175,positive
100,arc_seed0_headprobe,other,0.12331921164118624,scalar_l8_train8e5,0.1262514422422145,0.2932230601028249,positive
100,hotpot_seed1_headprobe,hotpot,0.10878442545109211,scalar_l8_train1e4,0.13039438039438042,2.160995494328831,positive
101,squad_seed2_anchor_recheck2,squad,0.18328373015873015,scalar_l8_train1e4,0.19042370299200898,0.7139972833278829,positive
101,punc_seed1_anchor_recheck2,other,0.10878442545109211,scalar_l8_train1e4,0.13039438039438042,2.160995494328831,positive
102,mbpp_seed0_anchor_recheck2,mbpp,0.48069493044784073,scalar_l8_sched_cos,0.49264840823226513,1.1953477784424404,positive
102,protein_ss_seed1_anchor_recheck,protein_ss,0.32226153039832284,head_l8,0.3461545155624103,2.3892985164087444,positive
103,protein_ss_seed5_discovery,protein_ss,0.26676524907656984,head_l8,0.282985776406829,1.6220527330259138,positive
104,arc_seed4_discovery,other,0.10343650441585676,scalar_l8_train1e4,0.13070751724279078,2.727101282693402,positive
104,mbpp_seed4_headprobe,mbpp,0.47532654134396335,scalar_l8_sched_cos,0.4882157482458676,1.288920690190426,positive
109,hotpot_seed6_discovery,hotpot,0.09005223171889838,scalar_l8_train1e4,0.1259233449477352,3.587111322883681,positive
112,hotpot_longctx_seed1_discovery,hotpot,0.06666666666666667,scalar_l8_train1e4,0.08888888888888889,2.2222222222222228,positive
114,mbpp_seed7_headprobe,mbpp,0.4646046322591868,head_l10_strong,0.4541799818472792,-1.04246504119076,negative
114,arc_seed7_discovery,other,0.15469392767237675,scalar_l8_train1e4,0.13295203318677498,-2.1741894485601767,negative
115,punc_seed3_anchor,other,0.08882779406972956,scalar_l8_train1e4,0.10383939010599352,1.5011596036263966,positive
116,mbpp_longctx_seed0_repair,mbpp_longctx,0.25266955266955266,scalar_l8_train1e4,0.18819444444444444,-6.4475108225108215,negative
118,hotpot_seed8_discovery,hotpot,0.10592334494773518,scalar_l8_train8e5,0.11310541310541311,0.7182068157677926,positive
119,punc_seed1_anchor_recheck3,other,0.1020822551894658,head_l8,0.09470166414887275,-0.7380591040593049,negative
