round,task,family,baseline_acc,best_cfg,best_acc,best_delta_pp,outcome
77,hotpot_seed0_discovery,hotpot,0.08440433440433441,scalar_l8_train8e5,0.1035878535878536,1.9183519183519195,positive
77,arc_seed0_discovery,other,0.10359067683908449,scalar_l8_train8e5,0.11358227759501645,0.999160075593196,positive
78,protein_ss_seed0_discovery,protein_ss,0.2717168607254814,scalar_l8_train1e4,0.30767461134858787,3.5957750623106466,positive
79,hotpot_seed1_discovery,hotpot,0.07915957915957916,scalar_l8_train1e4,0.13039438039438042,5.1234801234801255,positive
80,arc_seed1_discovery,other,0.09085182333589976,scalar_l8_sched_cos,0.09491145796878281,0.4059634632883044,positive
81,squad_seed2_anchor,squad,0.14575757575757575,scalar_l8_train1e4,0.15585858585858586,1.010101010101011,positive
81,punc_seed1_anchor,other,0.07915957915957916,scalar_l8_train1e4,0.13039438039438042,5.1234801234801255,positive
82,squad_seed0_anchor,squad,0.13325757575757577,scalar_l8_train1e4,0.14049662462713902,0.7239048869563253,positive
82,mbpp_seed2_anchor,mbpp,0.3910749283883612,scalar_l8_sched_cos,0.4118526200207405,2.0777691632379303,positive
89,protein_contact_seed0_discovery_fix,protein_contact,0.96875,scalar_l8_train1e4,0.96875,0.0,flat
90,protein_contact_seed1_discovery_fix,protein_contact,0.96875,scalar_l8_train1e4,0.96875,0.0,flat
91,hotpot_seed2_discovery,hotpot,0.06736866736866737,scalar_l8_train8e5,0.07832101348994723,1.0952346121279863,positive
91,arc_seed2_discovery,other,0.09085182333589976,scalar_l8_train1e4,0.0857947784699377,-0.5057044865962063,negative
92,protein_ss_seed1_discovery,protein_ss,0.25229335468877584,head_l8,0.3461545155624103,9.386116087363444,positive
93,squad_seed3_anchor,squad,0.14668572449526532,scalar_l8_train8e5,0.1440950509201358,-0.2590673575129515,negative
93,mbpp_seed0_anchor,mbpp,0.40686061658706035,scalar_l8_train8e5,0.43546461137646547,2.860399478940512,positive
94,squad_seed1_anchor,squad,0.14826783191166465,scalar_l8_train1e4,0.1457828282828283,-0.24850036288363575,negative
94,punc_seed0_anchor,other,0.08440433440433441,scalar_l8_train8e5,0.1035878535878536,1.9183519183519195,positive
95,protein_ss_seed2_discovery,protein_ss,0.2645060835850309,scalar_l8_train1e4,0.2619849977608598,-0.25210858241710987,negative
95,mbpp_seed1_anchor,mbpp,0.40856324438413993,scalar_l8_train8e5,0.4311020654304236,2.2538821046283686,positive
96,protein_ss_seed3_discovery,protein_ss,0.3128667101639154,scalar_l8_train1e4,0.3296769352264327,1.6810225062517337,positive
