round,task,family,quick_delta_pp,quick_cfg,med_delta_pp,med_cfg,reversal_qpos_mnonpos
77,arc_seed0_discovery,other,0.999160075593196,scalar_l8_train8e5,0.2932230601028249,scalar_l8_train8e5,False
77,hotpot_seed0_discovery,hotpot,1.9183519183519195,scalar_l8_train8e5,-0.11842261842261587,scalar_l8_train8e5,True
78,protein_ss_seed0_discovery,protein_ss,3.5957750623106466,scalar_l8_train1e4,3.5957750623106466,scalar_l8_train1e4,False
79,hotpot_seed1_discovery,hotpot,5.1234801234801255,scalar_l8_train1e4,2.160995494328831,scalar_l8_train1e4,False
80,arc_seed1_discovery,other,0.4059634632883044,scalar_l8_sched_cos,,,False
81,punc_seed1_anchor,other,5.1234801234801255,scalar_l8_train1e4,2.160995494328831,scalar_l8_train1e4,False
81,squad_seed2_anchor,squad,1.010101010101011,scalar_l8_train1e4,0.7139972833278829,scalar_l8_train1e4,False
82,mbpp_seed2_anchor,mbpp,2.0777691632379303,scalar_l8_sched_cos,0.8918787288445196,scalar_l8_sched_cos,False
82,squad_seed0_anchor,squad,0.7239048869563253,scalar_l8_train1e4,,,False
89,protein_contact_seed0_discovery_fix,protein_contact,0.0,scalar_l8_train1e4,,,False
90,protein_contact_seed1_discovery_fix,protein_contact,0.0,scalar_l8_train1e4,,,False
91,arc_seed2_discovery,other,-0.5057044865962063,scalar_l8_train1e4,,,False
91,hotpot_seed2_discovery,hotpot,1.0952346121279863,scalar_l8_train8e5,-2.737416904083571,scalar_l8_train8e5,True
92,protein_ss_seed1_discovery,protein_ss,9.386116087363444,head_l8,2.3892985164087444,head_l8,False
93,mbpp_seed0_anchor,mbpp,2.860399478940512,scalar_l8_train8e5,2.0300310395149457,scalar_l8_train8e5,False
93,squad_seed3_anchor,squad,-0.2590673575129515,scalar_l8_train8e5,,,False
94,punc_seed0_anchor,other,1.9183519183519195,scalar_l8_train8e5,-0.11842261842261587,scalar_l8_train8e5,True
94,squad_seed1_anchor,squad,-0.24850036288363575,scalar_l8_train1e4,,,False
95,mbpp_seed1_anchor,mbpp,2.2538821046283686,scalar_l8_train8e5,-1.512903412415878,scalar_l8_train8e5,True
95,protein_ss_seed2_discovery,protein_ss,-0.25210858241710987,scalar_l8_train1e4,,,False
96,mbpp_seed3_anchor,mbpp,-0.5088195386702854,scalar_l8_train1e4,,,False
96,protein_ss_seed3_discovery,protein_ss,1.6810225062517337,scalar_l8_train1e4,1.6810225062517337,scalar_l8_train1e4,False
97,hotpot_seed3_discovery,hotpot,-0.5244755244755261,scalar_l8_train1e4,,,False
