round,source_file,task,family,baseline_quick_acc,best_quick_cfg,best_quick_acc,best_quick_delta_pp,baseline_med_acc,best_med_cfg,best_med_acc,best_med_delta_pp,compare_mode,anchor_acc,best_med_delta_vs_anchor_pp,effective
20,_round20_serial_earlystop_records.jsonl,protein_ss,protein_ss,0.2466323166,scalar_l10_norm_detach,0.2911540683,4.4521751685,,scalar_l10_norm_node,0.3268675985,,med_vs_quick,0.2466323166,8.0235281875,1
21,_round21_targeted_search_records.jsonl,mbpp_fix,mbpp,0.1046464930,scalar_l8_trainable,0.1146428728,0.9996379866,,scalar_l8_trainable,0.2407353449,,med_vs_quick,0.1046464930,13.6088851920,1
21,_round21_targeted_search_records.jsonl,protein_ss_refine,protein_ss,0.2113711177,scalar_l10_trainable,0.2561682413,4.4797123671,,scalar_l10_sched_cos,0.3444893950,,med_vs_quick,0.2113711177,13.3118277282,1
22,_round22_adaptive_search_records.jsonl,sudoku4_refine,sudoku,0.5888671875,scalar_l8_trainable,0.6446533203,5.5786132812,,scalar_l6_trainable,0.9217529297,,med_vs_quick,0.5888671875,33.2885742188,1
22,_round22_adaptive_search_records.jsonl,sudoku9_probe,sudoku,0.0135289634,scalar_l6_trainable,0.0159108232,0.2381859756,,scalar_l6_trainable,0.0285823171,,med_vs_quick,0.0135289634,1.5053353659,1
24,_round24_punc_protein_records.jsonl,protein_ss_rt,protein_ss,0.3016760992,scalar_l10_sched_cos,0.3068219685,0.5145869290,,scalar_l10_sched_cos,0.3431246933,,med_vs_quick,0.3016760992,4.1448594083,1
26,_round26_mbpp_hotpot_lowthroughput_records.jsonl,mbpp_low,mbpp,0.1046464930,scalar_l8_trainable,0.1146428728,0.9996379866,,scalar_l8_trainable,0.2963962830,,med_vs_quick,0.1046464930,19.1749790060,1
27,_round27_seedcheck_positive_s012_records.jsonl,mbpp_low,mbpp,0.1398883251,scalar_l8_trainable,0.1431078383,0.3219513181,,scalar_l8_trainable,0.2538681392,,med_vs_quick,0.1398883251,11.3979814102,1
27,_round27_seedcheck_positive_s012_records.jsonl,punc_restore,punc,0.0918447293,head_l8,0.0998753561,0.8030626781,,head_l8,0.1168771912,,med_vs_quick,0.0918447293,2.5032461886,1
28,_round28_mbpp_bsz_sweep_s0_records.jsonl,mbpp,mbpp,0.1449920917,scalar_l8_trainable,0.1241614394,-2.0830652305,,scalar_l8_trainable,0.2538681392,,med_vs_quick,0.1449920917,10.8876047480,1
29,_round29_punc_seed5_s01234_records.jsonl,punc_restore,punc,0.0981357231,head_l8,0.1045049858,0.6369262619,,head_l8,0.1168771912,,med_vs_quick,0.0981357231,1.8741468095,1
34,_round34_punc_transfer_s0_records.jsonl,punc_hotpot,punc,0.0918447293,head_l8,0.0998753561,0.8030626781,,scalar_l8_sched_cos,0.1188510101,,med_vs_quick,0.0918447293,2.7006280756,1
34,_round34_punc_transfer_s0_records.jsonl,punc_mbpp,punc,0.3761656818,scalar_l8_sched_cos,0.4067224900,3.0556808199,,scalar_l8_sched_cos,0.4825156325,,med_vs_quick,0.3761656818,10.6349950705,1
35,_round35_punc_transfer_prune_s0_records.jsonl,punc_hotpot,punc,0.0850029192,head_l8,0.0990996300,1.4096710719,,head_l8,0.1079687084,,med_vs_quick,0.0850029192,2.2965789146,1
35,_round35_punc_transfer_prune_s0_records.jsonl,punc_mbpp,punc,0.4082812907,scalar_l8_sched_cos,0.4211098100,1.2828519386,,scalar_l8_sched_cos,0.4679906749,,med_vs_quick,0.4082812907,5.9709384269,1
36,_round36_punc_scene_discovery_s0_records.jsonl,punc_hotpot,punc,0.0850029192,head_l8,0.0990996300,1.4096710719,,head_l8,0.1079687084,,med_vs_quick,0.0850029192,2.2965789146,1
36,_round36_punc_scene_discovery_s0_records.jsonl,punc_mbpp,punc,0.4082812907,scalar_l8_sched_cos,0.4211098100,1.2828519386,,scalar_l8_sched_cos,0.4527679493,,med_vs_quick,0.4082812907,4.4486658627,1
36,_round36_punc_scene_discovery_s0_records.jsonl,punc_squad,punc,0.1121975612,scalar_l8_sched_cos,0.1311973845,1.8999823276,,scalar_l8_sched_cos,0.1573875734,,med_vs_quick,0.1121975612,4.5190012224,1
61,_round61_strict_seed1_frontier_records.jsonl,mbpp_strict_seed1,mbpp,0.4043095962,head_l10_strong,0.4386401327,3.4330536491,0.4666541379,head_l10_strong,0.4701445393,0.3490401396,med_vs_med,0.4666541379,0.3490401396,1
62,_round62_3h_finishpack_records.jsonl,punc_restore_seed0_scout,punc,0.0844043344,head_l8,0.1009891010,1.6584766585,0.1058773059,head_l8,0.1109449193,0.5067613401,med_vs_med,0.1058773059,0.5067613401,1
63,_round63_useful_followup_records.jsonl,mbpp_seed2_regrescue,mbpp,0.3910749284,head_l10_clip07,0.4251519757,3.4077047296,0.4669261087,head_l10_clip07,0.4897465047,2.2820396085,med_vs_med,0.4669261087,2.2820396085,1
63,_round63_useful_followup_records.jsonl,punc_restore_seed1_confirm,punc,0.0791595792,scalar_l8_sched_cos,0.1033673534,2.4207774208,0.1220352126,scalar_l8_sched_cos,0.1431992337,2.1164021164,med_vs_med,0.1220352126,2.1164021164,1
65,_round65_mbpp_squad_seed23_records.jsonl,squad_strict_seed2,squad,0.1457575758,scalar_l8_train1e4,0.1558585859,1.0101010101,0.1832837302,scalar_l8_train1e4,0.1904237030,0.7139972833,med_vs_med,0.1832837302,0.7139972833,1
66,_round66_squad_mbpp_frontier_records.jsonl,squad_seed0_train1e4_confirm,squad,0.1332575758,scalar_l8_train1e4,0.1404966246,0.7239048870,0.1727220765,scalar_l8_train1e4,0.1900331605,1.7311083978,med_vs_med,0.1727220765,1.7311083978,1
67,_round67_squad3_mbpp0_records.jsonl,mbpp_seed0_reconfirm_strict,mbpp,0.4060379919,head_l10_strong,0.4287652646,2.2727272727,0.4839325513,head_l10_strong,0.4993700337,1.5437482464,med_vs_med,0.4839325513,1.5437482464,1
69,_round69_mbpp_squad_rescue_records.jsonl,mbpp_seed3_dualmed_rescue,mbpp,0.4089588697,head_l10_strong,0.4184758028,0.9516933061,0.4823201376,head_l8_nodetach,0.4828256987,0.0505561173,med_vs_med,0.4823201376,0.0505561173,1
70,_round70_squad3_mbpp2_records.jsonl,mbpp_seed2_dualmed_recheck,mbpp,0.3910749284,head_l10_clip07,0.4251519757,3.4077047296,0.4669261087,head_l10_clip07,0.4897465047,2.2820396085,med_vs_med,0.4669261087,2.2820396085,1
71,_round71_mbpp3_squad2_records.jsonl,squad_seed2_scalar_reconfirm,squad,0.1457575758,scalar_l8_train1e4,0.1558585859,1.0101010101,0.1832837302,scalar_l8_train1e4,0.1904237030,0.7139972833,med_vs_med,0.1832837302,0.7139972833,1
73,_round73_mbpp1_squad0_recheck_records.jsonl,mbpp_seed1_strict_recheck,mbpp,0.4043095962,head_l10_strong,0.4386401327,3.4330536491,0.4666541379,head_l10_strong,0.4701445393,0.3490401396,med_vs_med,0.4666541379,0.3490401396,1
73,_round73_mbpp1_squad0_recheck_records.jsonl,squad_seed0_frontier_recheck,squad,0.1332575758,scalar_l8_train1e4,0.1404966246,0.7239048870,0.1727220765,scalar_l8_train1e4,0.1900331605,1.7311083978,med_vs_med,0.1727220765,1.7311083978,1
74,_round74_punc1_squad2_frontier_records.jsonl,punc_seed1_frontier_recheck,punc,0.0791595792,scalar_l8_train1e4,0.1303943804,5.1234801235,0.1220352126,scalar_l8_train1e4,0.1303943804,0.8359167842,med_vs_med,0.1220352126,0.8359167842,1
74,_round74_punc1_squad2_frontier_records.jsonl,squad_seed2_frontier_recheck,squad,0.1457575758,scalar_l8_train1e4,0.1558585859,1.0101010101,0.1832837302,scalar_l8_train1e4,0.1904237030,0.7139972833,med_vs_med,0.1832837302,0.7139972833,1
75,_round75_mbpp3_punc0_targeted_records.jsonl,mbpp_seed3_l8_refine,mbpp,0.4089588697,head_l8_nodetach,0.4145136778,0.5554808068,0.4823201376,head_l8_nodetach,0.4828256987,0.0505561173,med_vs_med,0.4823201376,0.0505561173,1
75,_round75_mbpp3_punc0_targeted_records.jsonl,punc_seed0_frontier_recheck,punc,0.0844043344,head_l8,0.1009891010,1.6584766585,0.1058773059,head_l8,0.1109449193,0.5067613401,med_vs_med,0.1058773059,0.5067613401,1
76,_round76_punc1_squad0_dualmed_records.jsonl,punc_seed1_dualmed_compare,punc,0.0791595792,scalar_l8_train1e4,0.1303943804,5.1234801235,0.1087844255,scalar_l8_train1e4,0.1303943804,2.1609954943,med_vs_med,0.1087844255,2.1609954943,1
76,_round76_punc1_squad0_dualmed_records.jsonl,squad_seed0_dualmed_compare,squad,0.1332575758,scalar_l8_train1e4,0.1404966246,0.7239048870,0.1727220765,scalar_l8_train1e4,0.1900331605,1.7311083978,med_vs_med,0.1727220765,1.7311083978,1
77,_round77_fastdiscover_records.jsonl,arc_seed0_discovery,arc_mc,0.1035906768,scalar_l8_train8e5,0.1135822776,0.9991600756,0.1233192116,scalar_l8_train8e5,0.1262514422,0.2932230601,med_vs_med,0.1233192116,0.2932230601,1
78,_round78_fastdiscover_records.jsonl,protein_ss_seed0_discovery,protein_ss,0.2717168607,scalar_l8_train1e4,0.3076746113,3.5957750623,0.2717168607,scalar_l8_train1e4,0.3076746113,3.5957750623,med_vs_med,0.2717168607,3.5957750623,1
79,_round79_fastdiscover_records.jsonl,hotpot_seed1_discovery,hotpot,0.0791595792,scalar_l8_train1e4,0.1303943804,5.1234801235,0.1087844255,scalar_l8_train1e4,0.1303943804,2.1609954943,med_vs_med,0.1087844255,2.1609954943,1
81,_round81_fastdiscover_records.jsonl,punc_seed1_anchor,punc,0.0791595792,scalar_l8_train1e4,0.1303943804,5.1234801235,0.1087844255,scalar_l8_train1e4,0.1303943804,2.1609954943,med_vs_med,0.1087844255,2.1609954943,1
81,_round81_fastdiscover_records.jsonl,squad_seed2_anchor,squad,0.1457575758,scalar_l8_train1e4,0.1558585859,1.0101010101,0.1832837302,scalar_l8_train1e4,0.1904237030,0.7139972833,med_vs_med,0.1832837302,0.7139972833,1
82,_round82_fastdiscover_records.jsonl,mbpp_seed2_anchor,mbpp,0.3910749284,scalar_l8_sched_cos,0.4118526200,2.0777691632,0.4669261087,scalar_l8_sched_cos,0.4758448959,0.8918787288,med_vs_med,0.4669261087,0.8918787288,1
92,_round92_fastdiscover_records.jsonl,protein_ss_seed1_discovery,protein_ss,0.2522933547,head_l8,0.3461545156,9.3861160874,0.3222615304,head_l8,0.3461545156,2.3892985164,med_vs_med,0.3222615304,2.3892985164,1
93,_round93_fastdiscover_records.jsonl,mbpp_seed0_anchor,mbpp,0.4068606166,scalar_l8_train8e5,0.4354646114,2.8603994789,0.4806949304,scalar_l8_train8e5,0.5009952408,2.0300310395,med_vs_med,0.4806949304,2.0300310395,1
96,_round96_fastdiscover_records.jsonl,protein_ss_seed3_discovery,protein_ss,0.3128667102,scalar_l8_train1e4,0.3296769352,1.6810225063,0.3128667102,scalar_l8_train1e4,0.3296769352,1.6810225063,med_vs_med,0.3128667102,1.6810225063,1
97,_round97_fastdiscover_records.jsonl,squad_seed2_anchor_recheck,squad,0.1457575758,scalar_l8_train1e4,0.1558585859,1.0101010101,0.1832837302,scalar_l8_train1e4,0.1904237030,0.7139972833,med_vs_med,0.1832837302,0.7139972833,1
98,_round98_fastdiscover_records.jsonl,punc_seed1_anchor_recheck,punc,0.0791595792,scalar_l8_train1e4,0.1303943804,5.1234801235,0.1087844255,scalar_l8_train1e4,0.1303943804,2.1609954943,med_vs_med,0.1087844255,2.1609954943,1
99,_round99_fastdiscover_records.jsonl,mbpp_seed2_headprobe,mbpp,0.3910749284,head_l10_strong,0.4251519757,3.4077047296,0.4669261087,head_l10_strong,0.4897465047,2.2820396085,med_vs_med,0.4669261087,2.2820396085,1
