round,source_file,task,family,baseline_quick_acc,best_quick_cfg,best_quick_acc,best_quick_delta_pp,baseline_med_acc,best_med_cfg,best_med_acc,best_med_delta_pp,compare_mode,anchor_acc,best_med_delta_vs_anchor_pp,effective
20,_round20_serial_earlystop_records.jsonl,hotpot,hotpot,0.0616550968,scalar_l10_norm_detach,0.0616550968,0.0000000000,,,,,,0.0616550968,,0
20,_round20_serial_earlystop_records.jsonl,protein_ss,protein_ss,0.2466323166,scalar_l10_norm_detach,0.2911540683,4.4521751685,,scalar_l10_norm_node,0.3268675985,,med_vs_quick,0.2466323166,8.0235281875,1
21,_round21_targeted_search_records.jsonl,mbpp_fix,mbpp,0.1046464930,scalar_l8_trainable,0.1146428728,0.9996379866,,scalar_l8_trainable,0.2407353449,,med_vs_quick,0.1046464930,13.6088851920,1
21,_round21_targeted_search_records.jsonl,protein_contact_fix,protein_contact,0.9882812500,scalar_l8_norm_node,0.9882812500,0.0000000000,,,,,,0.9882812500,,0
21,_round21_targeted_search_records.jsonl,protein_ss_refine,protein_ss,0.2113711177,scalar_l10_trainable,0.2561682413,4.4797123671,,scalar_l10_sched_cos,0.3444893950,,med_vs_quick,0.2113711177,13.3118277282,1
22,_round22_adaptive_search_records.jsonl,mbpp_focus,mbpp,0.1548573454,scalar_l8_trainable,0.1456963078,-0.9161037641,,,,,,0.1548573454,,0
22,_round22_adaptive_search_records.jsonl,protein_ss_expand,protein_ss,0.2815098412,scalar_l10_nodetach,0.2965391305,1.5029289326,,,,,,0.2815098412,,0
22,_round22_adaptive_search_records.jsonl,sudoku4_refine,sudoku,0.5888671875,scalar_l8_trainable,0.6446533203,5.5786132812,,scalar_l6_trainable,0.9217529297,,med_vs_quick,0.5888671875,33.2885742188,1
22,_round22_adaptive_search_records.jsonl,sudoku9_probe,sudoku,0.0135289634,scalar_l6_trainable,0.0159108232,0.2381859756,,scalar_l6_trainable,0.0285823171,,med_vs_quick,0.0135289634,1.5053353659,1
23,_round23_real_task_sweep_records.jsonl,hotpot_rt,hotpot,0.0477272727,scalar_l10_trainable,0.0477272727,0.0000000000,,,,,,0.0477272727,,0
23,_round23_real_task_sweep_records.jsonl,mbpp_rt,mbpp,0.1539288835,head_l8,0.1411119940,-1.2816889444,,,,,,0.1539288835,,0
24,_round24_punc_protein_records.jsonl,protein_ss_rt,protein_ss,0.3016760992,scalar_l10_sched_cos,0.3068219685,0.5145869290,,scalar_l10_sched_cos,0.3431246933,,med_vs_quick,0.3016760992,4.1448594083,1
26,_round26_mbpp_hotpot_lowthroughput_records.jsonl,hotpot_low,hotpot,0.1433712121,scalar_l10_trainable,0.1433712121,0.0000000000,,,,,,0.1433712121,,0
26,_round26_mbpp_hotpot_lowthroughput_records.jsonl,mbpp_low,mbpp,0.1046464930,scalar_l8_trainable,0.1146428728,0.9996379866,,scalar_l8_trainable,0.2963962830,,med_vs_quick,0.1046464930,19.1749790060,1
27,_round27_seedcheck_positive_s012_records.jsonl,mbpp_low,mbpp,0.1398883251,scalar_l8_trainable,0.1431078383,0.3219513181,,scalar_l8_trainable,0.2538681392,,med_vs_quick,0.1398883251,11.3979814102,1
27,_round27_seedcheck_positive_s012_records.jsonl,punc_restore,punc,0.0918447293,head_l8,0.0998753561,0.8030626781,,head_l8,0.1168771912,,med_vs_quick,0.0918447293,2.5032461886,1
28,_round28_mbpp_bsz_sweep_s0_records.jsonl,mbpp,mbpp,0.1449920917,scalar_l8_trainable,0.1241614394,-2.0830652305,,scalar_l8_trainable,0.2538681392,,med_vs_quick,0.1449920917,10.8876047480,1
29,_round29_punc_seed5_s01234_records.jsonl,punc_restore,punc,0.0981357231,head_l8,0.1045049858,0.6369262619,,head_l8,0.1168771912,,med_vs_quick,0.0981357231,1.8741468095,1
32,_round32_protein_ss_seed5_s01234_records.jsonl,protein_ss,protein_ss,0.2863036932,scalar_l10_sched_cos,0.2814720308,-0.4831662362,,,,,,0.2863036932,,0
34,_round34_punc_transfer_s0_records.jsonl,punc_hotpot,punc,0.0918447293,head_l8,0.0998753561,0.8030626781,,scalar_l8_sched_cos,0.1188510101,,med_vs_quick,0.0918447293,2.7006280756,1
34,_round34_punc_transfer_s0_records.jsonl,punc_mbpp,punc,0.3761656818,scalar_l8_sched_cos,0.4067224900,3.0556808199,,scalar_l8_sched_cos,0.4825156325,,med_vs_quick,0.3761656818,10.6349950705,1
35,_round35_punc_transfer_prune_s0_records.jsonl,punc_hotpot,punc,0.0850029192,head_l8,0.0990996300,1.4096710719,,head_l8,0.1079687084,,med_vs_quick,0.0850029192,2.2965789146,1
35,_round35_punc_transfer_prune_s0_records.jsonl,punc_mbpp,punc,0.4082812907,scalar_l8_sched_cos,0.4211098100,1.2828519386,,scalar_l8_sched_cos,0.4679906749,,med_vs_quick,0.4082812907,5.9709384269,1
36,_round36_punc_scene_discovery_s0_records.jsonl,punc_hotpot,punc,0.0850029192,head_l8,0.0990996300,1.4096710719,,head_l8,0.1079687084,,med_vs_quick,0.0850029192,2.2965789146,1
36,_round36_punc_scene_discovery_s0_records.jsonl,punc_mbpp,punc,0.4082812907,scalar_l8_sched_cos,0.4211098100,1.2828519386,,scalar_l8_sched_cos,0.4527679493,,med_vs_quick,0.4082812907,4.4486658627,1
36,_round36_punc_scene_discovery_s0_records.jsonl,punc_squad,punc,0.1121975612,scalar_l8_sched_cos,0.1311973845,1.8999823276,,scalar_l8_sched_cos,0.1573875734,,med_vs_quick,0.1121975612,4.5190012224,1
61,_round61_strict_seed1_frontier_records.jsonl,mbpp_strict_seed1,mbpp,0.4043095962,head_l10_strong,0.4386401327,3.4330536491,0.4666541379,head_l10_strong,0.4701445393,0.3490401396,med_vs_med,0.4666541379,0.3490401396,1
61,_round61_strict_seed1_frontier_records.jsonl,squad_strict_seed1,squad,0.1482678319,scalar_l8_train1e4,0.1457828283,-0.2485003629,,,,,,0.1482678319,,0
62,_round62_3h_finishpack_records.jsonl,mbpp_strict_seed2_confirm,mbpp,0.4136137494,head_l10_strong,0.4210387457,0.7424996231,0.4715105691,head_l10_strong,0.4516622198,-1.9848349294,med_vs_med,0.4715105691,-1.9848349294,0
62,_round62_3h_finishpack_records.jsonl,punc_restore_seed0_scout,punc,0.0844043344,head_l8,0.1009891010,1.6584766585,0.1058773059,head_l8,0.1109449193,0.5067613401,med_vs_med,0.1058773059,0.5067613401,1
62,_round62_3h_finishpack_records.jsonl,squad_strict_seed1_rescue,squad,0.1483080808,scalar_l8_sched_ultra,0.1482285834,-0.0079497418,,,,,,0.1483080808,,0
